,class,KNN_PAAC,KNN_DPC,ERT_CKSAAGP,KNN_AAC,ANN_DPC,ANN_AAC,KNN_CKSAAGP,KNN_PHYC,XGB_DPC
179,1,1.0,1.0,0.87,1.0,0.9999372239409248,0.995011228562208,1.0,1.0,0.9991188645362854
180,1,0.8,0.8,0.54,0.8,0.9785927593321784,0.8213050602653229,0.4,0.6,0.8421563506126404
181,1,1.0,0.0,0.7,0.4,0.8360753388113621,0.994718262036148,0.6,0.6,0.8456016778945923
182,1,1.0,0.6,0.52,1.0,0.033900596861908217,0.8246746646824863,0.4,1.0,0.41529965400695795
183,1,0.2,0.0,0.32,0.6,0.00029579632436545835,0.08674124878794316,0.2,0.4,0.0069154342636466035
184,1,0.4,0.0,0.49,0.4,0.05944884600594365,0.6287292551044475,0.6,0.8,0.91835618019104
185,1,0.4,0.2,0.58,0.4,0.15426774525834142,0.050545683504865775,0.6,0.4,0.1754169911146164
186,1,0.6,0.8,0.53,0.2,0.0173581050456652,0.14492224725118202,0.4,0.8,0.7602189183235168
187,1,1.0,0.6,0.95,1.0,0.9892272687501448,0.9954013274323096,0.8,1.0,0.9870190620422364
188,1,1.0,0.6,0.57,0.2,2.8364979477508213e-07,0.0019897167120405315,0.2,1.0,0.8273272514343262
189,1,1.0,0.2,0.38,0.2,2.3521581148812887e-09,0.6289803547870474,0.0,0.4,0.9410952925682068
190,1,0.6,0.0,0.65,0.0,3.1809371113738418e-06,0.0054979285235780976,0.0,0.8,0.4019196033477783
191,1,0.4,0.2,0.91,0.6,0.3006887580135405,0.5796448659376937,0.4,0.8,0.9638552665710448
192,1,0.0,0.0,0.68,0.2,0.0014608658619072068,0.005024260263396465,0.2,0.2,0.4508842527866364
193,1,0.6,1.0,0.93,1.0,0.9999999067459686,0.9754607086177828,1.0,0.6,0.9948463439941406
194,1,1.0,1.0,0.75,0.8,0.999992626171966,0.03189731543406076,1.0,0.8,0.995368719100952
